URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building
https://www.immoweb.be/en/classified/house/for-sale/floreffe/5150/10679422,10679422.0,house,house,295000,3,210.0,rue Marlaires 18,5150,FLOREFFE,Namur,False,True,2353,2353,True,installed,4.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/kessel/2560/10679421,10679421.0,house,house,249000,3,126.0,Oude Bevelsesteenweg 35,2560,Kessel,Mechelen,False,,,574,True,,3.0,False,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/braine-le-comte/7090/10679418,10679418.0,house,house,215000,4,107.0,Rond Point de la Bosse 24,7090,Braine-le-Comte,Soignies,False,,,270,True,,3.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/villa/for-sale/harz%C3%A9/4920/10679416,10679416.0,house,villa,329000,3,123.0,Rue de Fy 8A,4920,Harzé,Liège,False,,,1171,True,,4.0,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/heverlee/3001/10624496,10624496.0,house,house,405000,3,138.0,Tervuursesteenweg 337,3001,Heverlee,Leuven,False,True,42,125,True,installed,2.0,True,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/geel%20%28geel%29/2440/10679414,10679414.0,house,house,365000,3,214.0,Kievermondeveld 30,2440,Geel (Geel),Turnhout,False,,,1384,True,,4.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/10679413,10679413.0,apartment,duplex,398000,3,154.0,Chaussee d'Alsemberg 1049,1180,Uccle,Brussels,False,,,,True,hyper equipped,2.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/penthouse/for-sale/lievegem/9950/10679412,10679412.0,apartment,penthouse,375000,4,175.0,Stationsstraat 123,9950,Lievegem,Gent,False,,,,True,,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/elsene/1050/10679410,10679410.0,apartment,apartment,375000,1,,Rue du Prince Albert 33,1050,Elsene,Brussels,False,,,,True,usa hyper equipped,2.0,False,True,
https://www.immoweb.be/en/classified/villa/for-sale/schilde/2970/10679409,10679409.0,house,villa,3995000,4,750.0,None None,2970,Schilde,Antwerp,False,,,9850,True,,4.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/dinant/5500/10679407,10679407.0,apartment,apartment,174000,2,100.0,Rue Grande 93,5500,Dinant,Dinant,False,,,,True,,,False,,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/dinant/5500/10679406,10679406.0,apartment,apartment,245000,2,102.0,Quai Jean Baptiste Culot 5,5500,Dinant,Dinant,False,,,,True,,,False,,JUST_RENOVATED
https://www.immoweb.be/en/classified/house/for-sale/hasti%C3%A8re/5540/10679405,10679405.0,house,house,59000,2,53.0,Hurlevent 6,5540,Hastière,Dinant,False,True,224,224,True,,,True,,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/10679404,10679404.0,apartment,apartment,575000,4,195.0,Putkapelstraat 103,9051,SINT-DENIJS-WESTREM,Gent,False,,,,True,semi equipped,3.0,True,,GOOD
https://www.immoweb.be/en/classified/penthouse/for-sale/sint-denijs-westrem/9051/10679403,10679403.0,apartment,penthouse,575000,4,195.0,Putkapelstraat 103,9051,SINT-DENIJS-WESTREM,Gent,False,,,,True,semi equipped,3.0,True,,GOOD
https://www.immoweb.be/en/classified/apartment-block/for-sale/fexhe-le-haut-clocher/4347/10679401,10679401.0,house,apartment block,294400,3,,Grand route 472,4347,Fexhe-le-Haut-Clocher,Waremme,False,,,0,True,installed,4.0,False,,AS_NEW
https://www.immoweb.be/en/classified/apartment-block/for-sale/fexhe-le-haut-clocher/4347/10679397,10679397.0,house,apartment block,230000,2,,Grand route 472,4347,Fexhe-le-Haut-Clocher,Waremme,False,,,0,True,installed,4.0,False,,AS_NEW
https://www.immoweb.be/en/classified/apartment-block/for-sale/fexhe-le-haut-clocher/4347/10679396,10679396.0,house,apartment block,235000,2,,Grand route 472,4347,Fexhe-le-Haut-Clocher,Waremme,False,,,0,True,installed,4.0,False,,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/10679395,10679395.0,house,house,825000,3,210.0,None None,1370,Jodoigne,Nivelles,True,True,,3300,True,usa hyper equipped,4.0,True,,
https://www.immoweb.be/en/classified/house/for-sale/havre/7021/10679393,10679393.0,house,house,239000,4,150.0,"Rue Oscar Sturbois,27 None",7021,Havre,Mons,False,True,935,935,True,installed,3.0,False,False,
https://www.immoweb.be/en/classified/apartment/for-sale/fexhe-le-haut-clocher/4347/10679392,10679392.0,apartment,apartment,245000,2,,Grand route 472,4347,Fexhe-le-Haut-Clocher,Waremme,False,,,,True,installed,4.0,False,,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/soignies/7060/10679389,10679389.0,house,house,320000,3,115.0,Rue Caulier 282 Lot 3,7060,Soignies,Soignies,False,,,214,True,,2.0,False,False,
https://www.immoweb.be/en/classified/apartment-block/for-sale/fexhe-le-haut-clocher/4347/10679388,10679388.0,house,apartment block,240000,2,,Grand route 472,4347,Fexhe-le-Haut-Clocher,Waremme,False,,,0,True,installed,4.0,False,,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/10679382,10679382.0,apartment,apartment,219000,1,55.0,Rue du Champ de la Couronne 100,1020,Bruxelles,Brussels,False,,,,True,not installed,2.0,False,False,TO_RENOVATE
